,dates,profit,dates_count,cumulative
26,2020-01-05,-0.1806020066889632,3,96.42692869059545
27,2020-01-06,1.2346074507561744,7,97.66153614135162
28,2020-01-07,3.414551083591331,5,101.07608722494295
29,2020-01-08,0.6670634920634922,6,101.74315071700644
30,2020-01-09,-2.090909090909091,4,99.65224162609735
1,2020-01-10,2.519408369408369,7,102.17164999550572
2,2020-01-11,2.9523809523809526,4,105.12403094788667
3,2020-01-12,0.23783539115346897,7,105.36186633904013
4,2020-01-13,1.3763736263736264,4,106.73823996541375
5,2020-01-14,-0.9651416122004357,4,105.77309835321331
6,2020-01-15,2.777539851452895,7,108.55063820466621
7,2020-01-16,0.3289760348583878,3,108.8796142395246
8,2020-01-17,1.7747561225822097,4,110.6543703621068
9,2020-01-18,2.4021807521807523,9,113.05655111428756
10,2020-01-19,-2.0,2,111.05655111428756
12,2020-01-20,2.246568216729507,12,113.30311933101706
13,2020-01-21,-1.0,1,112.30311933101706
14,2020-01-22,0.5857989836250705,8,112.88891831464213
15,2020-01-23,2.034782608695652,3,114.92370092333778
16,2020-01-24,1.6203703703703702,9,116.54407129370814
17,2020-01-25,2.192857142857143,5,118.73692843656528
18,2020-01-26,-1.3115769605333174,8,117.42535147603196
19,2020-01-27,1.951449275362319,5,119.37680075139428
20,2020-01-28,-1.9035087719298245,5,117.47329197946446
21,2020-01-29,-0.17142857142857137,5,117.30186340803589
23,2020-01-30,0.8555555555555556,3,118.15741896359144
24,2020-01-31,2.4475013290802767,5,120.60492029267172
103,2020-02-01,-0.4523809523809524,7,120.15253934029077
108,2020-02-02,-0.5454545454545454,2,119.60708479483623
119,2020-02-03,1.9261382739643609,8,121.53322306880058
120,2020-02-04,0.9041769041769042,2,122.43739997297749
121,2020-02-05,0.8606060606060607,7,123.29800603358355
122,2020-02-06,-0.9583333333333333,4,122.33967270025022
123,2020-02-07,-1.5833333333333333,5,120.75633936691689
124,2020-02-08,1.0079140461215932,7,121.76425341303849
125,2020-02-09,-1.1103448275862067,6,120.65390858545229
104,2020-02-10,-1.8055555555555556,7,118.84835302989673
105,2020-02-11,1.9956427015250546,5,120.84399573142178
106,2020-02-12,-1.6082080200501252,11,119.23578771137166
107,2020-02-13,2.369565217391304,2,121.60535292876295
109,2020-02-20,-0.5863636363636364,4,121.01898929239931
110,2020-02-21,-0.81869018257403,8,120.20029910982528
111,2020-02-22,-2.473684210526316,4,117.72661489929897
112,2020-02-23,3.068548842461886,5,120.79516374176085
113,2020-02-24,-2.75,4,118.04516374176085
114,2020-02-25,0.21772875816993464,5,118.26289249993079
115,2020-02-26,2.5228715728715727,7,120.78576407280235
116,2020-02-27,0.5808080808080809,2,121.36657215361043
117,2020-02-28,-0.6689306861720655,5,120.69764146743837
118,2020-02-29,-0.44214344214344203,5,120.25549802529493
126,2020-03-01,2.5714817440623894,4,122.82697976935732
129,2020-03-02,-1.0857142857142859,5,121.74126548364303
130,2020-03-03,1.093137254901961,5,122.834402738545
131,2020-03-04,1.8257200316023847,8,124.66012277014738
132,2020-03-05,-2.0,2,122.66012277014738
133,2020-03-06,3.5020448812971905,10,126.16216765144458
134,2020-03-07,-0.2796296296296297,5,125.88253802181495
135,2020-03-08,-3.988377564464521,11,121.89416045735044
136,2020-03-09,1.403030303030303,3,123.29719076038074
127,2020-03-10,-1.5898989898989897,6,121.70729177048176
128,2020-03-11,3.2,2,124.90729177048176
137,2020-07-30,1.7905405405405406,2,126.69783231102231
138,2020-07-31,-0.35357142857142865,6,126.34426088245088
139,2020-08-01,4.0636363636363635,5,130.40789724608726
149,2020-08-02,-1.0542986425339365,6,129.35359860355334
157,2020-08-03,-0.5335935062068545,6,128.8200050973465
160,2020-08-04,1.119047619047619,5,129.93905271639412
161,2020-08-05,0.6331349098751475,5,130.57218762626925
162,2020-08-06,0.8805555555555555,5,131.45274318182481
163,2020-08-07,-0.3795665634674923,6,131.0731766183573
164,2020-08-08,2.4023809523809523,5,133.47555757073826
165,2020-08-09,-2.1511035653650254,5,131.32445400537324
140,2020-08-10,-1.9682539682539684,5,129.35620003711927
141,2020-08-11,-2.5833333333333335,7,126.77286670378594
142,2020-08-12,-0.11538461538461542,4,126.65748208840132
143,2020-08-13,-2.011764705882353,7,124.64571738251897
144,2020-08-14,1.9951612903225806,4,126.64087867284155
145,2020-08-15,0.38461538461538464,1,127.02549405745694
146,2020-08-17,1.2157809983896941,3,128.24127505584664
147,2020-08-18,-1.0909090909090908,3,127.15036596493755
148,2020-08-19,-1.5,3,125.65036596493755
150,2020-08-20,0.14890400604686316,3,125.79926997098441
151,2020-08-21,0.30952380952380953,3,126.10879378050822
152,2020-08-22,1.861904761904762,3,127.97069854241299
153,2020-08-23,-1.375,3,126.59569854241299
154,2020-08-24,1.986217008797654,3,128.58191555121064
155,2020-08-25,1.463157894736842,2,130.04507344594748
156,2020-08-29,0.46511627906976744,1,130.51018972501726
158,2020-08-30,-2.0,2,128.51018972501726
159,2020-08-31,1.0,2,129.51018972501726
166,2020-09-01,-0.23076923076923073,2,129.27942049424803
175,2020-09-02,-0.5833333333333333,2,128.6960871609147
183,2020-09-03,-1.0,1,127.69608716091469
185,2020-09-04,-2.0,2,125.69608716091469
186,2020-09-05,-1.0,1,124.69608716091469
187,2020-09-06,1.2000000000000002,2,125.89608716091469
188,2020-09-07,-2.0,2,123.89608716091469
189,2020-09-08,-0.4285714285714286,2,123.46751573234326
190,2020-09-09,-2.0,2,121.46751573234326
167,2020-09-10,0.46511627906976744,1,121.93263201141302
168,2020-09-11,-2.0,2,119.93263201141302
169,2020-09-12,0.38461538461538464,1,120.3172473960284
170,2020-09-13,3.3,1,123.6172473960284
171,2020-09-15,-2.0,2,121.6172473960284
172,2020-09-17,-1.0,1,120.6172473960284
173,2020-09-18,0.3448275862068966,1,120.9620749822353
174,2020-09-19,-1.0,1,119.9620749822353
176,2020-09-20,0.3333333333333333,1,120.29540831556862
177,2020-09-22,2.15,1,122.44540831556863
178,2020-09-23,1.45,1,123.89540831556863
179,2020-09-24,-1.0,1,122.89540831556863
180,2020-09-25,0.625,1,123.52040831556863
181,2020-09-26,0.5,1,124.02040831556863
182,2020-09-27,1.3,1,125.32040831556863
184,2020-09-30,0.5405405405405406,1,125.86094885610918
